category,name,rating,number_of_reviews,love,price,value_price,URL,ingredients,online_only,brand,main_accords,notes
Perfume,waterlily sun,4.5,48,3900,130.0,130.0,https://www.sephora.com/product/waterlily-sun-P395768?icid2=products grid:p395768,Alcohol Denat.- Fragrance- Water- Limonene- Benzyl Salicylate- Ethylhexyl Methoxycinnamate- Butyl Methoxydibenzoylmethane- Ethylhexyl Salicylate- Linalool- Geraniol- Citronellol- Eugenol- Benzyl Alcohol- Citral- Farnesol.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.,1,Aerin Lauder,"[""green"", ""citrus"", ""musky"", ""aquatic"", ""white floral"", ""floral""]","{""middle"": [""Water Lily"", ""Jasmine""], ""base"": [""Musk""], ""top"": [""Bergamot"", ""Green Notes""]}"
Perfume,rose de grasse,5.0,12,1700,235.0,235.0,https://www.sephora.com/product/rose-de-grasse-P433906?icid2=products grid:p433906,unknown,1,Aerin Lauder,"[""rose"", ""musky"", ""amber"", ""aquatic"", ""woody""]","{""middle"": [""French Rose"", ""Bulgarian Rose""], ""base"": [""Woody Notes"", ""Amber"", ""Musk""], ""top"": [""Ambrette (Musk Mallow)"", ""Watery Notes""]}"
Perfume,nectar,4.0,63,3500,26.0,26.0,https://www.sephora.com/product/nectar-P428439?icid2=products grid:p428439,Sd Alcohol 40-B (Alcohol Denat.)- Fragrance- Water- Benzyl Alcohol- Benzyl Benzoate- Citral- Citronellol- Eugenol- Farnesol- Geraniol- Isoeugenol- Limonene- Linalool. ,0,Ajne,"[""vanilla"", ""citrus"", ""powdery"", ""fruity"", ""fresh""]","[""Apricot"", ""Citruses"", ""Madagascar Vanilla""]"
Cologne,gentleman,4.5,17,1500,94.0,94.0,https://www.sephora.com/product/gentleman-P423431?icid2=products grid:p423431,Alcohol- Fragrance- Water- Limonene- Ethylhexyl Methoxycinnamate- Linalool- Diethylamino Hydroxybenzoyl Hexyl Benzoate- Alpha-Isomethyl Ionone- Citronellol- Butyl Methoxydibenzoylmethane- Butylene Glycol- Dicaprylate/Dicaprate- Bht- Citral- Geraniol- Methyl 2-Octynoate- Tocopherol- Ext. Violet 2 (Ci 60730)- Yellow 5 (Ci 19140)- Red 4 (Ci 14700)- Blue 1 (Ci 42090).,0,Aramis,"[""fresh spicy""]","[""Ginger"", ""Black Pepper""]"
Cologne,man,4.5,69,3100,92.0,92.0,https://www.sephora.com/product/man-P393754?icid2=products grid:p393754,Alcohol Denat. (Sd Alcohol 39-C)- Fragrance- Water- Limonene- Ethylhexyl Methoxycinnamate- Linalool- Citronellol- Ethylhexyl Salicylate- Coumarin- Butyl Methoxydibenzoylmethane- Butylphenyl Methylpropional- Bht- Citral- Geraniol. ,0,Calvin Klein,"[""fresh spicy"", ""woody"", ""aromatic"", ""balsamic"", ""ozonic""]","{""middle"": [""Nutmeg"", ""Mint"", ""Bay Leaf"", ""Incense""], ""base"": [""Cypress"", ""Sandalwood"", ""Amber"", ""Musk"", ""Guaiac Wood""], ""top"": [""Rosemary"", ""Mandarin Orange"", ""Violet Leaf"", ""Bergamot""]}"
Perfume,ck one,4.5,186,5900,65.0,65.0,https://www.sephora.com/product/ck-one-P4095?icid2=products grid:p4095,Alcohol Denat.- Water- Fragrance- Linalool- Limonene- Butylphenyl Methylpropional- Citronellol- Coumarin- Geraniol- Bht- Citral- Tetrasodium Edta- Isoeugenol- Acrylates/Octylacrylamide Copolymer- Hydrolyzed Jojoba Esters.,0,Calvin Klein,"[""citrus"", ""green"", ""woody"", ""floral"", ""aromatic"", ""powdery""]","{""middle"": [""Nutmeg"", ""Violet"", ""Orris Root"", ""Jasmine"", ""Lily-of-the-Valley"", ""Rose""], ""base"": [""Sandalwood"", ""Amber"", ""Musk"", ""Cedar"", ""Oakmoss""], ""top"": [""Pineapple"", ""Green Notes"", ""Mandarin Orange"", ""Papaya"", ""Bergamot"", ""Cardamom"", ""Lemon""]}"
Cologne,eternity for men,4.5,116,1500,83.0,83.0,https://www.sephora.com/product/eternity-for-men-P4103?icid2=products grid:p4103,Alcohol Denat.- Water- Fragrance- Limonene- Ethylhexyl Methoxycinnamate- Linalool- Benzophenone-3- Ethylhexyl Salicylate- Bht- Butyl Methoxydibenzoylmethane- Benzyl Salicylate- Citronellol- Coumarin- Propylene Glycol- Geraniol- Citral- Disodium Edta- Acrylates/Octylacrylamide Copolymer- Hydrolyzed Jojoba Esters- Ext. D&C Violet No. 2 (Ci 60730).,0,Calvin Klein,"[""aromatic"", ""fresh spicy"", ""citrus"", ""woody"", ""herbal"", ""floral""]","{""middle"": [""Coriander"", ""Lily"", ""Orange Blossom"", ""Juniper Berries"", ""Basil"", ""Jasmine"", ""Sage"", ""Lily-of-the-Valley"", ""Geranium""], ""base"": [""Sandalwood"", ""Amber"", ""Musk"", ""Vetiver"", ""Brazilian Rosewood""], ""top"": [""Lavender"", ""Mandarin Orange"", ""Bergamot"", ""Lemon""]}"
Perfume,deep euphoria,4.5,17,1500,26.0,26.0,https://www.sephora.com/product/deep-euphoria-P412435?icid2=products grid:p412435,Alcohol Denat.- Fragrance- Water- Benzophenone-3- Benzyl Alcohol- Benzyl Benzoate- Benzyl Salicylate- Bht- Butyl Methoxydibenzoylmethane- Citral- Citronellol- Coumarin- Ethylhexyl Methoxycinnamate- Ethylhexyl Salicylate- Eugenol- Farnesol- Geraniol- Hydroxycitronellal- Limonene- Linalool.,1,Calvin Klein,"[""fresh spicy"", ""rose"", ""patchouli"", ""woody"", ""floral""]","{""middle"": [""Black Rose"", ""Peony"", ""Geranium"", ""Jasmine Sambac""], ""base"": [""Musk"", ""Patchouli"", ""Woody Notes""], ""top"": [""Cascalone"", ""Mandarin Leaf"", ""White Pepper""]}"
Perfume,euphoria,4.5,570,10600,79.0,79.0,https://www.sephora.com/product/euphoria-P117410?icid2=products grid:p117410,unknown,0,Calvin Klein,"[""woody"", ""floral"", ""powdery"", ""sweet"", ""amber""]","{""middle"": [""Lotus"", ""Orchid""], ""base"": [""Violet"", ""Amber"", ""Musk"", ""Mahogany""], ""top"": [""Pomegranate""]}"
Perfume,212,4.5,127,2900,86.0,86.0,https://www.sephora.com/product/212-P4437?icid2=products grid:p4437,Alcohol Denat.- Fragrance- Water- Butylphenyl Methylpropional- Linalool- Limonene- Alpha-Isomethyl Ionone- Hexyl Cinnamal- Benzyl Salicylate- Citronellol- Geraniol- Citral- Benzyl Benzoate.,0,Carolina Herrera,"[""white floral"", ""floral"", ""citrus"", ""musky"", ""green""]","{""middle"": [""White Camelia"", ""Lily"", ""Gardenia"", ""Freesia"", ""Jasmine"", ""Rose"", ""Lily-of-the-Valley"", ""Peony""], ""base"": [""Sandalwood"", ""Musk""], ""top"": [""Orange Blossom"", ""Mandarin Orange"", ""Cactus Flower"", ""Bergamot""]}"
Cologne,212 men,5.0,80,2300,72.0,72.0,https://www.sephora.com/product/212-men-P4440?icid2=products grid:p4440,unknown,0,Carolina Herrera,"[""fresh spicy"", ""green"", ""citrus"", ""aromatic"", ""woody"", ""warm spicy""]","{""middle"": [""Ginger"", ""Gardenia"", ""Violet"", ""Sage""], ""base"": [""Labdanum"", ""Sandalwood"", ""Musk"", ""Guaiac Wood"", ""Vetiver"", ""Incense""], ""top"": [""Spices"", ""Petitgrain"", ""Lavender"", ""Green Notes"", ""Grapefruit"", ""Bergamot""]}"
Cologne,212 sexy men,4.5,48,656,92.0,92.0,https://www.sephora.com/product/212-sexy-men-P217312?icid2=products grid:p217312,Alcohol Denat.- Water- Fragrance- Coumarin- Butylphenyl Methylpropional- Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde- Linalool- Alpha-Isomethyl Ionone- Limonene- Geraniol- Hexyl Cinnamal- Citronellol- Citral Alcohol Of Vegatal Origin 80%.,0,Carolina Herrera,"[""vanilla"", ""woody"", ""powdery"", ""fresh spicy"", ""citrus""]","{""middle"": [""Cardamom"", ""Flowers"", ""Pepper""], ""base"": [""Vanilla"", ""Sandalwood"", ""Guaiac Wood"", ""Musk"", ""Amber""], ""top"": [""Mandarin Orange"", ""Bergamot"", ""Green Notes""]}"
Perfume,calyx,4.0,62,2100,55.5,55.5,https://www.sephora.com/product/calyx-P384600?icid2=products grid:p384600,Rds Product Name: Calyx Fragrance   Division: Cl (Clinique)Alcohol Denat. - Calyx Fragrance - Water - Butylphenyl Methylpropional - Limonene - Benzyl Salicylate - Hydroxycitronellal - Alpha-Isomethyl Ionone - Linalool - Hexyl Cinnamal - Benzyl Cinnamate - Citronellol - Geraniol - Evernia Prunastri (Oakmoss) Extract - Citral - Benzyl Benzoate - Eugenol - Farnesol - Amyl Cinnamal - Benzyl Alcohol - Cinnamyl Alcohol ,0,Clinique,"[""tropical"", ""fruity"", ""green"", ""floral"", ""citrus""]","{""middle"": [""Lily-of-the-Valley"", ""Freesia"", ""Neroli"", ""Lily"", ""Jasmine"", ""Rose"", ""Marigold""], ""base"": [""Oakmoss"", ""Vetiver"", ""Sandalwood"", ""Orris Root""], ""top"": [""Mandarin Orange"", ""Grapefruit"", ""Passionfruit"", ""Mango"", ""Papaya"", ""Guava"", ""Green Leaves""]}"
Perfume,clinique happy heart,5.0,4,1400,53.0,53.0,https://www.sephora.com/product/clinique-happy-heart-P433472?icid2=products grid:p433472,unknown,1,Clinique,"[""aquatic"", ""ozonic"", ""green"", ""floral"", ""soft spicy"", ""citrus""]","{""middle"": [""Carrot"", ""Water Hyacinth""], ""base"": [""Sandalwood"", ""White Woods""], ""top"": [""Mandarin Orange"", ""Cassia"", ""Cucumber""]}"
Perfume,clinique happy heart,5.0,4,1400,53.0,53.0,https://www.sephora.com/product/clinique-happy-heart-P433472?icid2=products grid:p433472,unknown,1,Clinique,"[""floral"", ""citrus"", ""aquatic"", ""woody"", ""ozonic""]","{""middle"": [""Water Hyacinth""], ""base"": [""White Wood""], ""top"": [""Mandarin Orange""]}"
Perfume,indigo,4.5,480,17700,74.0,74.0,https://www.sephora.com/product/indigo-P385317?icid2=products grid:p385317,Alcohol Denat.- Fragrance- Water- Cinnamal- Limonene- Linalool- Geraniol- Citronellol- Citral- Benzyl Alcohol- Coumarin.,0,DayNa Decker,"[""floral"", ""white floral"", ""green"", ""musky"", ""woody""]","[""Lily-of-the-Valley"", ""Red Apple"", ""Frangipani"", ""Woodsy Notes"", ""Musk""]"
Perfume,2am kiss,3.5,117,2600,85.0,85.0,https://www.sephora.com/product/2am-kiss-P405460?icid2=products grid:p405460,unknown,0,Derek Lam 10 Crosby,"[""amber"", ""woody"", ""caramel"", ""animalic"", ""sweet""]","[""Caramel"", ""Woody Notes"", ""Amber""]"
Perfume,afloat,3.5,24,949,85.0,85.0,https://www.sephora.com/product/afloat-P405468?icid2=products grid:p405468,unknown,0,Derek Lam 10 Crosby,"[""powdery"", ""floral"", ""woody"", ""yellow floral"", ""sweet""]","[""White Mimosa"", ""Orris""]"
Perfume,ellipsis,4.5,38,1200,85.0,85.0,https://www.sephora.com/product/ellipsis-P405462?icid2=products grid:p405462,unknown,0,Derek Lam 10 Crosby,"[""white floral"", ""woody"", ""balsamic"", ""powdery"", ""warm spicy""]","[""Australian Sandalwood"", ""Jasmine""]"
Perfume,looking glass,4.5,28,1300,85.0,85.0,https://www.sephora.com/product/looking-glass-P405472?icid2=products grid:p405472,unknown,0,Derek Lam 10 Crosby,"[""floral"", ""aromatic"", ""balsamic"", ""aquatic"", ""fruity""]","[""Magnolia"", ""Tonka Bean"", ""Floral Notes""]"
Cologne,man,4.5,43,1000,95.0,95.0,https://www.sephora.com/product/man-P272041?skuId=1293901&icid2=products grid:p272041,Alcohol Denat. (Sd Alcohol 39-C)- Water- Fragrance- Limonene- Ethylhexyl Methoxycinnamate- Linalool- Citronellol- Butyl Methoxydibenzoylmethane- Ethylhexyl Salicylate- Coumarin- Benzyl Benzoate- Geraniol- Citral- Ci 60730 (Ext. Violet 2)- Bht.,1,Calvin Klein,"[""fresh spicy"", ""woody"", ""aromatic"", ""balsamic"", ""ozonic""]","{""middle"": [""Nutmeg"", ""Mint"", ""Bay Leaf"", ""Incense""], ""base"": [""Cypress"", ""Sandalwood"", ""Amber"", ""Musk"", ""Guaiac Wood""], ""top"": [""Rosemary"", ""Mandarin Orange"", ""Violet Leaf"", ""Bergamot""]}"
Perfume,eternity,4.0,285,2700,73.0,73.0,https://www.sephora.com/product/eternity-P4099?icid2=products grid:p4099,Alcohol Denat.- Fragrance- Water- Limonene- Ethylhexyl Methoxycinnamate- Hexyl Cinnamal- Benzophenone-3- Ethylhexyl Salicylate- Butyl Methoxydibenzoylmethane- Citronellol- Citral- Propylene Glycol- Linalool- Geraniol- Bht- Disodium Edta- Acrylates/Octylacrylamide Copolymer- Hydrolyzed Jojoba Esters- Ext. D&C Violet No. 2 (Ci 60730).,1,Calvin Klein,"[""floral"", ""green"", ""aromatic"", ""white floral"", ""warm spicy""]","{""middle"": [""Lily"", ""Carnation"", ""Violet"", ""Jasmine"", ""Marigold"", ""Lily-of-the-Valley"", ""Rose"", ""Narcissus""], ""base"": [""Sandalwood"", ""Amber"", ""Patchouli"", ""Musk"", ""Heliotrope""], ""top"": [""Citruses"", ""Green Notes"", ""Mandarin Orange"", ""Freesia"", ""Sage""]}"
Perfume,212 sexy,4.0,150,4100,84.0,84.0,https://www.sephora.com/product/212-sexy-P80002?icid2=products grid:p80002,Alcohol Denat.- Fragrance- Water- Butylphenyl Methylpropional- Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde- Limonene- Ethylhexyl Methoxycinnamate- Butyl Methoxydibenzoylmethane- Ethylhexyl Salicylate- Alpha-Isomethyl Ionone- Linalool- Hexyl Cinnamal- Coumarin- Citronellol- Geraniol- Citral-  (Red Farnesol- Isoeugenol- Benzyl Benzoate- Ci 17200 (Red 33) Alcohol Of Vegetal Origin 80% .,0,Carolina Herrera,"[""sweet"", ""musky"", ""vanilla"", ""soft spicy"", ""powdery"", ""citrus""]","{""middle"": [""Gardenia"", ""Pelargonium"", ""Cotton Candy"", ""Flowers"", ""Rose""], ""base"": [""Musk"", ""Vanilla"", ""Sandalwood"", ""Patchouli"", ""Caramel"", ""Violet""], ""top"": [""Pink Pepper"", ""Mandarin Orange"", ""Bergamot""]}"
Perfume,clinique happy,4.5,630,15500,53.0,53.0,https://www.sephora.com/product/clinique-happy-P122641?icid2=products grid:p122641,Alcohol Denat. - Clinique Happy Perfume (Parfum) - Water - Butylphenyl Methylpropional - Benzyl Alcohol - Hydroxycitronellal - Limonene - Citronellol - Alpha-Isomethyl Ionone - Linalool - Citral - Geraniol ,0,Clinique,"[""citrus"", ""floral"", ""fresh spicy"", ""green"", ""fruity"", ""sweet""]","{""middle"": [""Orchid"", ""Freesia"", ""Lily-of-the-Valley"", ""Rose""], ""base"": [""Mimosa"", ""Lily"", ""Magnolia"", ""Amber"", ""Musk""], ""top"": [""Orange"", ""Indian Mandarin"", ""Plum"", ""Blood Grapefruit"", ""Apple"", ""Bergamot""]}"
Perfume,clinique happy,4.5,630,15500,53.0,53.0,https://www.sephora.com/product/clinique-happy-P122641?icid2=products grid:p122641,Alcohol Denat. - Clinique Happy Perfume (Parfum) - Water - Butylphenyl Methylpropional - Benzyl Alcohol - Hydroxycitronellal - Limonene - Citronellol - Alpha-Isomethyl Ionone - Linalool - Citral - Geraniol ,0,Clinique,"[""citrus"", ""green"", ""aromatic"", ""marine"", ""woody""]","{""middle"": [""Freesia"", ""Jasmine"", ""Lily-of-the-Valley"", ""Rose""], ""base"": [""Cypress"", ""Musk"", ""Guaiac Wood"", ""Cedar""], ""top"": [""Lime"", ""Green Notes"", ""Mandarin Orange"", ""Lemon"", ""Sea Notes""]}"
Perfume,daisy,4.5,1000,84800,106.0,106.0,https://www.sephora.com/product/daisy-P191858?icid2=products grid:p191858,"Alcohol Denat.- Fragrance- Water- Acrylates/Octylacrylamide Copolymer- Alpha-Isomethyl Ionone- Benzophenone-3- Benzyl Benzoate- Bht- Butyl
Methoxydibenzoylmethane- Butylphenyl Methylpropional- Citronellol- Ethylhexyl Methoxycinnamate- Ethylhexyl Salicylate- Geraniol- Hexyl Cinnamal- Hydrolyzed Jojoba Esters- Hydroxycitronellal- Limonene- Linalool- Methyl 2-Octynoate- Fd&C Yellow N5 (Ci 19140)- Fd&C Yellow N6 (Ci 15985).",0,Demeter Fragrance,"[""green"", ""floral"", ""sweet"", ""herbal"", ""fresh spicy""]","[""Daisy"", ""Green Notes""]"
Perfume,aromatics elixir,4.5,187,2200,77.0,77.0,https://www.sephora.com/product/aromatics-elixir-P122699?icid2=products grid:p122699,Alcohol Denat. - Aromatics Perfume (Parfum) - Water - Benzyl Salicylate - Geraniol - Linalool - Hydroxycitronellal - Eugenol - Butylphenyl Methylpropional - Benzyl Benzoate - Hexyl Cinnamal - Citral - Benzyl Alcohol - Benzyl Cinnamate - Citronellol - Farnesol - Limonene - Evernia Furfuracea (Treemoss) Extract - Coumarin - Isoeugenol - Cinnamyl Alcohol - Evernia Prunastri (Oakmoss) Extract - Alpha-Isomethyl Ionone ,0,Clinique,"[""woody"", ""aromatic"", ""earthy"", ""balsamic"", ""warm spicy""]","{""middle"": [""Carnation"", ""Tuberose"", ""Orange Blossom"", ""Orris Root"", ""Jasmine"", ""Ylang-Ylang"", ""Rose""], ""base"": [""Sandalwood"", ""Patchouli"", ""Musk"", ""Oakmoss"", ""Vetiver"", ""Incense""], ""top"": [""Aldehydes"", ""Coriander"", ""Chamomile"", ""Clary Sage"", ""Lemon Verbena"", ""Bergamot"", ""Brazilian Rosewood"", ""Geranium""]}"
Perfume,egypt,5.0,2,816,175.0,175.0,https://www.sephora.com/product/egypt-P416047?icid2=products grid:p416047,unknown,1,EIGHT BOB,,
